Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,4112.42,49349.04,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Amazon EC2,0,1368.09,16417.08,USD,"Operating system (Linux), Quantity (41), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3.medium)"
My Estimate,US East (N. Virginia),S3 Standard,0,1218.94,14627.28,USD,S3 Standard storage (50 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,921.51,11058.12,USD,"Data Transfer, Data transfer cost (921.51)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,683.2,8198.40,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (db.r5.large), Additional backup storage (1 TB)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
